CustomerID,SatisfactionScore,CLTV
4154-AQUGT,1,3861
8017-LXHFA,2,2740
4248-QPAVC,1,3209
4690-LLKUA,1,3797
9490-DFPMD,2,4871
8580-AECUZ,3,5001
5047-LHVLY,2,3438
8375-DKEBR,1,3438
7279-BUYWN,1,3380
7156-MHUGY,1,5394
9606-PBKBQ,1,4584
3536-IQCTX,1,2712
3132-TVFDZ,2,5172
8080-DDEMJ,2,4499
6702-OHFWR,3,4972
4510-PYUSH,1,3110
8840-DQLGN,1,4745
4193-ORFCL,1,2740
7776-QWNFX,3,4795
6689-TCZHQ,3,4054
9497-QCMMS,1,5536
3424-NMNBO,1,4739
4514-GFCFI,2,5136
8000-REIQB,2,3208
4795-KTRTH,1,4287
9961-JBNMK,1,4317
6179-GJPSO,1,2833
8290-YWKHZ,3,5247
8051-HJRLT,3,2146
4021-RQSNY,3,5137
9061-TIHDA,1,2982
8699-ASUFO,3,4969
4695-WJZUE,1,3685
3988-RQIXO,3,2371
5931-FLJJF,2,3669
3207-OYBWH,2,6259
7216-EWTRS,1,3128
2528-HFYZX,1,3266
4140-MUHUG,2,3561
1587-FKLZB,1,4479
5440-FLBQG,3,4708
2774-LVQUS,3,2596
4612-THJBS,3,5605
4094-NSEDU,2,4819
1846-XWOQN,2,2825
3757-NJYBX,2,4113
9898-KZQDZ,1,5676
8263-JQAIK,3,5573
2205-YMZZJ,3,2015
1254-IZEYF,3,5362
9221-OTIVJ,1,2292
5908-QMGOE,1,4553
0397-GZBBC,2,5390
7641-EUYET,1,5712
8922-LIEGH,3,4078
8245-UMPYT,3,2688
5186-SAMNZ,2,3273
5373-SFODM,2,3041
0022-TCJCI,1,2654
5130-IEKQT,2,4283
3269-ATYWD,1,4892
0354-WYROK,2,4050
7576-OYWBN,1,2930
5539-TMZLF,1,5057
3336-JORSO,1,3401
6861-XWTWQ,2,2487
4283-FUTGF,3,3715
2397-BRLOM,1,3443
8510-AWCXC,1,3269
8225-BTJAU,1,3856
1724-BQUHA,2,2718
4826-XTSOH,1,4843
2408-WITXK,1,3244
2634-HCZGT,1,5271
7503-QQRVF,1,2076
0709-TVGUR,1,3145
3001-CBHLQ,1,3966
4102-OQUPX,3,5429
3999-QGRJH,1,3068
2454-RPBRZ,3,2709
2265-CYWIV,1,4708
4550-VBOFE,1,5005
7409-KIUTL,3,5345
1732-VHUBQ,3,4457
0679-IDSTG,1,4568
8802-UNOJF,1,5565
6313-GIDIT,2,6280
2845-AFFTX,1,4726
2815-CPTUL,2,3684
1891-FZYSA,1,6363
9685-WKZGT,3,2075
6022-UGGSO,1,2091
3923-CSIHK,3,5746
3677-IYRBF,1,4002
8118-LSUEL,1,5507
5277-ZLOOR,3,5512
4248-HCETZ,3,2174
9174-FKWZE,1,3848
5307-DZCVC,3,2431
8679-JOEVF,1,5556
4803-AXVYP,1,3474
5649-ANRML,3,4486
7395-IGJOS,2,3443
7890-VYYWG,1,3766
9907-SWKKF,1,4842
6397-JNZZG,1,2573
7779-LGOVN,1,4990
9710-ZUSHQ,1,5849
3902-FOIGH,1,3967
3318-OSATS,2,2080
2636-ALXXZ,2,2151
9885-CSMWE,1,2139
8058-JMEQO,3,3543
7657-DYEPJ,3,2645
8276-MQBYC,2,6204
6015-VVHHE,3,2516
2516-VQRRV,3,3350
7580-UGXNC,1,3016
5178-LMXOP,1,5795
7056-IMHCC,1,5884
8749-JMNKX,1,4788
0917-EZOLA,3,5925
8414-MYSHR,1,2834
4988-IQIGL,3,4403
4706-AXVKM,2,5118
5889-JTMUL,3,5863
9026-RNUJS,1,4618
1624-NALOJ,1,2960
6210-KBBPI,1,2313
2260-USTRB,1,2767
8623-TMRBY,2,6245
6900-PXRMS,1,3157
3346-BRMIS,2,2167
2722-JMONI,1,4989
7579-OOPEC,1,5461
1771-OADNZ,3,2151
0612-RTZZA,2,4628
4433-JCGCG,1,2436
9488-HGMJH,3,5287
4818-QIUFN,1,4997
6961-VCPMC,3,4876
4424-TKOPW,1,4998
4201-JMNGR,1,5527
1866-RZZQS,1,2169
8631-NBHFZ,1,5910
4958-XCBDQ,3,3689
8337-UPOAQ,2,5124
6712-OAWRH,3,5154
5914-DVBWJ,1,5145
8644-XLFBW,2,5674
1833-VGRUM,2,4684
8374-XGEJJ,1,3123
6946-LMSQS,1,2673
4039-HEUNW,3,4652
0812-WUPTB,2,3022
2403-BCASL,2,3711
3871-IKPYH,3,2767
1304-NECVQ,2,5203
5655-JSMZM,2,5904
4505-EXZHB,1,3964
8972-HJWNV,1,5245
2860-RANUS,1,3336
0406-BPDVR,2,6405
5276-KQWHG,3,4596
9667-EQRXU,2,3016
0946-CLJTI,1,4662
0324-BRPCJ,1,4481
9189-JWSHV,2,4937
0576-WNXXC,1,2999
5482-PLVPE,1,3278
4902-OHLSK,1,4235
0495-ZBNGW,2,4324
2357-COQEK,2,4136
2034-CGRHZ,3,5245
9360-AHGNL,2,5863
5485-WUYWF,1,4522
2632-UCGVD,2,4512
6425-YQLLO,2,6117
2091-RFFBA,1,2560
6899-PPEEA,2,4448
4597-NUCQV,3,4287
3754-DXMRT,2,5655
7130-VTEWQ,3,4174
7903-CMPEY,1,4138
1704-NRWYE,2,5242
7481-ATQQS,2,5651
0023-HGHWL,3,5437
1792-UXAFY,1,5082
6161-UUUTA,2,4367
6543-XRMYR,1,3548
2479-BRAMR,1,4995
3714-JTVOV,1,2322
8580-QVLOC,1,5697
2012-NWRPA,3,3172
8808-ELEHO,1,3812
9058-CBREO,1,3357
8063-GBATB,1,5172
1069-XAIEM,1,2975
6987-XQSJT,1,5684
0722-TROQR,1,2122
6402-ZFPPI,1,4969
9965-YOKZB,1,3723
0504-HHAPI,3,2420
3791-LGQCY,1,4803
8166-ZZTFS,3,4400
2956-GGUCQ,1,3079
2778-OCLGR,1,4591
7067-KSAZT,1,5965
9300-AGZNL,1,4176
1112-CUNAO,2,2668
3389-YGYAI,3,5546
3070-DVEYC,2,5638
5707-ORNDZ,1,4656
8696-JKZNU,3,5859
2055-PDADH,3,2491
2302-ANTDP,1,5915
5233-GEEAX,1,5971
7137-RYLPP,2,4712
3957-LXOLK,1,5030
5281-BUZGT,1,5692
2718-GAXQD,1,4797
3217-FZDMN,1,3676
7480-QNVZJ,3,4287
7124-UGSUR,1,4412
1862-SKORY,3,2296
4816-JBHOV,1,4618
3247-ZVOUO,1,3336
1268-ASBGA,2,5769
4713-LZDRV,3,4322
4325-NFSKC,1,2373
6502-HCJTI,1,3591
8258-GSTJK,1,3128
2995-UPRYS,3,5098
6686-YPGHK,3,3645
8020-BWHYL,3,4526
6892-XPFPU,1,2104
8010-EZLOU,1,4958
8062-YBDOE,2,5844
3672-YITQD,1,2987
8988-ECPJR,1,3980
3776-EKTKM,3,5303
0643-OKLRP,1,5915
9381-NDKME,1,3843
8327-LZKAS,2,4423
1075-BGWOH,2,3392
8485-GJCDN,3,3368
6029-WTIPC,1,4424
3317-HRTNN,3,3561
5569-OUICF,3,4994
5747-PMBSQ,1,2415
2982-IHMFT,3,4291
5143-EGQFK,2,5702
6168-WFVVF,3,5165
7450-NWRTR,3,2819
6005-OBZPH,1,4074
7932-WPTDS,1,5377
7000-WCEVQ,1,3866
5959-BELXA,2,2246
2506-TNFCO,2,5948
6060-DRTNL,1,3305
8473-VUVJN,3,5443
0196-VULGZ,3,5721
1976-CFOCS,1,4531
4631-OACRM,1,3621
3755-JBMNH,1,3327
6345-ULYRW,3,2674
0013-EXCHZ,1,3464
5550-VFRLC,1,5056
2657-ALMWY,3,4316
6284-AHOOQ,1,5014
2460-FPSYH,1,4272
5028-HTLJB,1,3491
0875-CABNR,3,3320
6982-UQZLY,3,3817
0193-ESZXP,1,5067
4369-HTUIF,2,5831
5287-QWLKY,1,5725
1891-UAWWU,1,2312
3096-JRDSO,1,3444
2398-YPMUR,2,5101
1265-XTECC,1,5957
4871-JTKJF,3,4741
1415-YFWLT,1,3067
3500-RMZLT,1,2933
2642-DTVCO,3,5095
1363-TXLSL,1,4962
7136-RVDTZ,2,5824
6927-WTFIV,2,3684
3398-ZOUAA,2,3853
4844-JJWUY,1,5359
4785-QRJHC,3,4011
1965-AKTSX,1,5203
7248-VZQLC,1,4661
0011-IGKFF,1,3714
6496-SLWHQ,3,5960
9912-GVSEQ,2,2591
5383-MMTWC,3,4819
6877-LGWXO,3,3521
5167-GBFRE,3,4694
1324-NLTJE,1,3167
5567-WSELE,1,3019
6646-VRFOL,1,5860
9090-SGQXL,3,6284
6595-YGXIT,2,3878
9835-ZIITK,1,4281
5649-TJHOV,1,4564
9253-QXKBE,1,2233
8775-LHDJH,2,2905
3097-NQYSN,1,5204
3565-UNOCC,1,3179
9190-MFJLN,1,2851
1095-JUDTC,2,5214
5385-SUIRI,1,5648
6328-ZPBGN,2,4074
2856-NNASM,1,3802
6769-DYBQN,1,2097
2446-BEGGB,3,3330
1496-GGSUK,1,4095
3296-SILRA,2,2426
5180-UCIIQ,1,2061
1977-STDKI,1,4116
5813-UECBU,2,2583
4342-HENTK,1,2189
1597-LHYNC,1,4232
8651-ENBZX,3,5507
9286-DOJGF,1,5165
9661-MHUMO,3,4478
8884-ADFVN,1,2016
2720-WGKHP,1,5569
9776-CLUJA,1,5748
3551-HUAZH,2,3429
8634-MPHTR,1,5166
2474-BRUCM,1,2837
0616-ATFGB,1,2119
7235-NXZCP,2,5378
6661-HBGWL,1,2984
9317-WZPGV,3,4038
3621-CEOVK,1,3369
7632-MNYOY,3,4389
9248-OJYKK,3,3763
3398-FSHON,2,4703
3319-DWOEP,3,5750
0818-OCPZO,3,2571
1389-CXMLU,2,2194
5561-NWEVX,3,4225
2272-QAGFO,3,5342
3768-NLUBH,1,5247
7359-SSBJK,1,6080
0685-MLYYM,2,4407
7957-RYHQD,1,3207
6230-BSUXY,2,2650
3990-QYKBE,1,4127
9274-CNFMO,2,3716
3005-NFMTA,2,5543
5389-FFVKB,1,5365
8444-WRIDW,2,5011
5868-YWPDW,2,5834
1273-MTETI,3,2754
5480-HPRRX,3,3542
7234-FECYN,3,5546
1400-MMYXY,2,2715
7142-HVGBG,1,2505
1564-NTYXF,2,3363
0886-QGENL,1,4853
8739-WWKDU,1,4849
8685-WHQPW,1,2407
7240-FQLHE,2,5857
6664-FPDAC,3,4060
0786-VSSUD,1,5692
6583-QGCSI,3,5813
1980-KXVPM,1,3553
0723-DRCLG,2,2394
6894-LFHLY,1,5571
8361-LTMKD,2,5839
3841-NFECX,4,5309
4929-XIHVW,5,4449
3413-BMNZE,3,3144
8012-SOUDQ,4,2223
6575-SUVOI,4,3154
4667-QONEA,3,5153
5067-XJQFU,5,4582
1891-QRQSA,4,4881
2673-CXQEU,4,4463
0191-ZHSKZ,4,3033
2424-WVHPL,5,4182
5386-THSLQ,5,6238
2639-UGMAZ,3,5372
3146-MSEGF,3,6102
1131-QQZEB,3,4329
2504-DSHIH,3,5788
9058-HRZSV,4,5348
4522-AKYLR,4,5557
0221-WMXNQ,3,4033
5046-NUHWD,3,3094
7529-ZDFXI,5,4429
3197-ARFOY,3,3524
4716-HHKQH,3,5328
3179-GBRWV,4,4604
4847-TAJYI,3,2578
6851-WEFYX,5,3318
3167-SNQPL,5,4036
2799-ARNLO,4,5437
5701-YVSVF,4,4413
5697-GOMBF,5,5444
2739-CACDQ,4,3754
6035-BXTTY,5,4045
0021-IKXGC,4,4432
4654-DLAMQ,3,4053
4115-NZRKS,5,2415
3351-NGXYI,3,2276
8204-YJCLA,3,4886
9774-NRNAU,3,5352
0224-RLWWD,3,3805
3951-NJCVI,4,2677
0177-PXBAT,3,5655
2519-ERQOJ,4,5322
0111-KLBQG,5,2844
1996-DBMUS,3,5523
2055-SIFSS,3,4763
2806-MLNTI,4,4621
5628-RKIFK,3,5348
5760-WRAHC,3,3509
1480-BKXGA,3,4404
9076-AXYIK,4,6270
4933-IKULF,4,4086
3780-DDGSE,5,5479
4612-SSVHJ,5,2416
5756-OZRIO,4,4001
4513-CXYIX,3,4583
4332-MUOEZ,3,2574
6705-LXORM,4,2064
4109-CYRBD,5,5495
8606-CIQUL,4,5168
0356-OBMAC,3,5840
1297-VQDRP,5,4324
4676-MQUEA,3,4184
7025-WCBNE,3,3155
6030-REHUX,4,3906
6522-YRBXD,3,2631
6689-VRRTK,3,5720
7134-MJPDY,3,5569
4881-JVQOD,4,5248
6797-UCJHZ,3,5722
2469-DTSGX,5,5388
4908-XAXAY,4,5982
3509-GWQGF,3,5242
3729-OWRVL,3,4295
7251-LJBQN,3,3568
2682-KEVRP,3,4327
9978-HYCIN,3,3384
8329-UTMVM,4,3104
6952-OMNWB,4,5581
6549-YMFAW,4,2302
1307-TVUFB,4,2399
7503-MIOGA,3,5881
2499-AJYUA,5,5933
6919-ELBGL,3,6268
3966-HRMZA,4,3545
5671-RQRLP,4,4181
4785-NKHCX,5,2154
4250-WAROZ,3,4353
3523-BRGUW,5,2269
2123-AGEEN,3,2107
1258-YMZNM,3,4997
6259-WJQLC,4,2143
7508-SMHXL,4,4452
3956-CJUST,4,2491
4824-GUCBY,4,5602
6630-UJZMY,3,5251
9904-EHEVJ,5,2965
2826-DXLQO,3,2587
9489-UTFKA,3,2136
4849-PYRLQ,3,4011
2858-EIMXH,3,5325
6419-ZTTLE,5,3418
8242-SOQUO,4,2660
7460-ITWWP,4,2701
7868-TMWMZ,5,4953
4829-ZLJTK,3,6144
8883-GRDWQ,4,5090
9845-PEEKO,5,5400
1751-NCDLI,5,2641
2176-LVPNX,3,4994
3452-ABWRL,3,5527
1779-PWPMG,3,5408
3082-WQRVY,5,2962
2460-NGXBJ,5,5193
5268-DSMNQ,5,5428
6242-MBHPK,3,4025
4782-OSFXZ,3,5089
1282-IHQAC,3,4022
1641-RQDAY,3,4848
5461-QKNTN,3,2040
8089-UZWLX,5,4113
4468-KAZHE,5,2399
1543-LLLFT,3,5413
6507-ZJSUR,4,5272
9220-ZNKJI,3,4291
0723-VSOBE,3,5715
1004-NOZNR,4,5693
1251-STYSZ,4,3828
9681-KYGYB,4,5987
7005-CYUIL,3,4964
2388-LAESQ,3,4796
3108-PCCGG,3,5856
6729-GDNGC,5,3111
4238-HFHSN,3,4250
2692-BUCFV,4,5285
5651-WYIPH,3,3283
8752-GHJFU,3,4322
6896-SRVYQ,5,4374
9052-VKDUW,3,4452
2480-EJWYP,3,6019
6806-YDEUL,3,3288
0222-CNVPT,3,4865
6048-UWKAL,4,5467
9290-SHCMB,4,3098
2277-BKJKN,4,4951
8016-ZMGMO,5,5572
1728-CXQBE,3,6020
0481-SUMCB,4,5391
2811-POVEX,5,3937
7905-NJMXS,4,5116
9957-YODKZ,5,5611
3223-DWFIO,3,4140
3292-PBZEJ,3,3175
0993-OSGPT,5,6418
7108-DGVUU,5,2784
9906-NHHVC,3,5693
8152-UOBNY,3,5746
7351-KYHQH,4,4615
6374-NTQLP,3,5092
6267-DCFFZ,5,3792
2439-LYPMQ,4,5469
7426-WEIJX,4,6214
3761-FLYZI,5,5225
1060-ENTOF,4,5703
0999-QXNSA,4,3779
9365-SRSZE,3,2534
4918-FYJNT,4,5140
4854-CIDCF,4,2868
3280-MRDOF,3,3415
6407-UTSLV,3,2885
5935-FCCNB,4,4425
9705-IOVQQ,5,5177
1320-REHCS,5,4993
2057-BOYKM,4,5153
0134-XWXCE,5,3253
2307-FYNNL,3,5692
5605-XNWEN,5,4055
2519-LBNQL,4,4040
8623-ULFNQ,5,3225
7789-HKSBS,3,5573
2070-XYMFH,5,3558
5663-QBGIS,3,6120
3402-XRIUO,3,2136
8058-DMYRU,5,5232
3537-RYBHH,3,4074
0523-VNGTF,3,5185
7105-MXJLL,5,2502
7064-FRRSW,4,3061
1636-NTNCO,3,2104
3219-JQRSL,3,4627
1845-CSBRZ,5,2656
3723-BFBGR,5,4330
5692-ICXLW,5,3493
7020-OZKXZ,3,3021
0308-GIQJT,4,4921
8775-ERLNB,5,2968
8309-IEYJD,4,2576
7361-YPXFS,4,3820
6557-BZXLQ,3,5610
4832-VRBMR,3,6441
7901-TBKJX,3,5514
9919-FZDED,3,4671
7206-PQBBZ,3,2848
4079-VTGLK,5,5610
2931-VUVJN,3,5061
2878-RMWXY,3,4680
7375-WMVMT,4,6412
7622-FWGEW,3,6500
0380-NEAVX,5,5626
8495-LJDFO,4,5780
1302-UHBDD,4,4812
3597-YASZG,4,5004
3420-ZDBMA,4,5171
3398-GCPMU,3,4993
1013-QCWAM,4,5469
0336-PIKEI,4,5590
7322-OCWHC,3,4988
5732-IKGQH,3,5490
0093-EXYQL,3,5742
9168-INPSZ,4,2944
0015-UOCOJ,3,5525
5334-AFQJB,5,5751
2754-SDJRD,4,5157
1465-LNTLJ,5,4537
4706-DGAHW,3,4576
8552-OBVRU,3,3847
9776-OJUZI,4,4168
0869-PAPRP,3,3935
4238-JSSWH,5,3199
9121-PHQSR,4,3739
9796-MVYXX,4,3162
7268-IGMFD,4,3728
0013-SMEOE,3,5011
2573-GYRUU,4,3594
6486-LHTMA,3,2364
4083-BFNYK,4,5148
1089-HDMKP,4,4143
0141-YEAYS,4,5990
9603-OAIHC,3,2469
8406-LNMHF,4,5295
0023-UYUPN,3,4015
6360-SVNWV,3,2057
9050-IKDZA,4,4267
1197-BVMVG,3,4093
5198-EFNBM,4,5636
7516-GMHUV,4,5324
6614-YWYSC,3,6421
8735-SDUFN,5,4397
7016-NVRIC,3,3553
9825-YCXWZ,5,2227
2000-DHJUY,4,5264
9796-BPKIW,3,2939
9137-NOQKA,5,4577
7748-UMTRK,4,2440
6463-MVYRY,4,4759
4526-ZJJTM,3,4849
5315-CKEQK,3,5195
0907-HQNTS,3,4588
8250-ZNGGW,4,3662
8166-ORCHU,4,4414
1855-CFULU,5,3460
8628-MFKAX,3,5098
9508-ILZDG,4,5425
6128-AQBMT,3,3920
4295-YURET,4,6357
7693-QPEFS,3,4368
0924-BJCRC,3,4340
5533-NHFRF,4,3410
4360-QRAVE,5,2494
8433-WPJTV,3,5669
5387-ASZNZ,3,4657
2277-DJJDL,3,4763
6963-EZQEE,3,4097
2452-KDRRH,4,5269
5248-RPYWW,3,4606
7923-IYJWY,3,5896
1658-TJVOA,3,4716
0674-DGMAQ,5,5804
2761-XECQW,3,2560
8059-UDZFY,5,4738
7740-BTPUX,5,5754
8648-PFRMP,4,2056
8996-ZROXE,4,5521
2207-QPJED,4,4048
0516-QREYC,5,3740
3865-QBWSJ,3,2926
5857-TYBCJ,4,2925
4176-RELJR,3,6388
7924-GJZFI,4,4442
5897-ZYEKH,3,5768
5456-ITGIC,5,5295
8070-AAWZP,4,2525
6860-YRJZP,5,2003
9391-DXGGG,4,4368
9844-FELAJ,3,5899
8395-ETZKQ,3,5443
8336-TAVKX,3,4032
0581-BXBUB,4,4503
5150-ITWWB,4,4496
9281-OFDMF,4,5028
7636-OWBPG,3,3606
0549-CYCQN,5,4673
0928-JMXNP,4,2914
3629-ZNKXA,4,3296
4827-LTQRJ,4,5418
0136-IFMYD,5,4297
5144-TVGLP,3,3654
9659-ZTWSM,4,4138
2195-VVRJF,3,2422
1125-SNVCK,5,5651
2545-EBUPK,3,5039
2172-EJXVF,3,5479
8659-HDIYE,4,5113
4680-KUTAJ,4,5014
2883-ILGWO,5,5838
1167-OYZJF,5,4934
4806-DXQCE,4,6146
5996-NRVXR,3,4332
0100-DUVFC,5,5291
5397-TUPSH,3,4871
6773-LQTVT,5,4107
9402-ORRAH,3,4173
4840-ORQXB,3,5128
3982-DQLUS,3,4978
3756-VNWDH,3,4368
2921-XWDJH,3,2768
9799-CAYJJ,4,2901
6814-ZPWFQ,4,5896
5019-GQVCR,4,4556
2880-FPNAE,4,3170
1568-BEKZM,3,4666
2045-BMBTJ,4,3116
6741-EGCBI,3,5983
1730-ZMAME,4,3041
5913-INRQV,3,3202
6185-TASNN,4,2546
1925-LFCZZ,4,4932
8707-RMEZH,3,4148
9373-WSLOY,3,5600
9819-FBNSV,3,4121
9544-PYPSJ,4,5868
3878-AVSOQ,4,5033
3258-SYSWS,3,4598
0512-FLFDW,5,6442
2107-FBPTK,4,5655
1016-DJTSV,4,5242
5699-BNCAS,3,4788
2900-PHPLN,3,5209
4039-PIMHX,3,4306
7826-VVKWT,5,4309
5288-AHOUP,3,4333
7134-HBPBS,5,4474
4415-WNGVR,4,3355
1309-XGFSN,3,6090
0650-BWOZN,3,5313
4304-XUMGI,4,6084
9481-IEBZY,3,5569
1080-BWSYE,5,6469
3786-WOVKF,4,4768
5816-SCGFC,4,3660
9278-VZKCD,5,4428
8261-GWDBQ,3,4734
6173-GOLSU,4,4228
8720-RQSBJ,4,4320
7225-CBZPL,3,4831
3692-JHONH,5,4499
1200-TUZHR,4,2565
7130-CTCUS,3,3324
0420-HLGXF,3,3860
3657-COGMW,4,4251
4334-HOWRP,3,4049
4098-NAUKP,3,6404
3308-JSGML,3,6306
6199-IWKGC,5,5453
2675-DHUTR,3,4993
7446-YPODE,3,5296
9522-BNTHX,3,5597
0531-ZZJWQ,5,4958
2688-BHGOG,5,5811
0916-QOFDP,3,3471
8910-LEDAG,3,3583
3452-GWUIN,5,5316
7278-CKDNC,4,4422
8450-UYIBU,4,2030
3836-FZSDJ,5,4367
0187-QSXOE,4,5711
7733-UDMTP,4,4622
6904-JLBGY,4,4008
6917-YACBP,3,5170
4223-WOZCM,5,5251
5917-RYRMG,4,3836
8224-DWCKX,4,5159
1768-HNVGJ,3,4223
4395-PZMSN,4,2850
5446-DKWYW,4,6238
8107-KNCIM,4,3771
5451-YHYPW,3,6205
7629-WFGLW,3,6335
8818-DOPVL,3,4103
7044-YAACC,5,4444
8189-XRIKE,4,5936
3740-RLMVT,3,5792
2186-QZEYA,3,2044
5599-HVLTW,4,3276
9208-OLGAQ,4,3878
3244-CQPHU,4,5232
2674-MLXMN,4,4241
9708-HPXWZ,5,2599
5792-JALQC,3,5085
2675-OTVVJ,4,5597
0537-QYZZN,3,3412
3340-QBBFM,3,4017
2277-VWCNI,3,3048
7576-JMYWV,3,4162
5227-JSCFE,4,5421
1608-GMEWB,4,3960
2665-NPTGL,4,3114
0442-ZXKVS,3,4337
0575-CUQOV,4,6150
5329-KRDTM,4,6202
0707-HOVVN,4,6024
9518-XXBXE,4,4254
0423-UDIJQ,4,2145
9029-FEGVJ,3,5242
8999-XXGNS,5,5832
0471-ARVMX,3,5061
7524-VRLPL,3,4204
4884-TVUQF,4,4421
8065-BVEPF,4,4574
6350-XFYGW,4,2757
8755-IWJHN,3,6132
4480-QQRHC,3,4899
0929-PECLO,4,4438
9470-YFUYI,3,5247
7402-EYFXX,5,4030
1986-PHGZF,4,2812
8024-XNAFQ,4,5294
2988-GBIVW,4,5129
5956-YHHRX,5,4934
6008-NAIXK,3,4521
4007-NHVHI,3,5679
8979-CAMGB,5,6100
7813-ZGGAW,5,3364
6583-KQJLK,3,5868
6139-ZZRBQ,4,4309
7594-LZNWR,3,4478
3996-ZNWYK,4,5819
8760-ZRHKE,4,5546
5216-WASFJ,3,5603
4948-WBBKL,3,5041
8348-JLBUG,3,4270
3339-EAQNV,5,6156
5730-RIITO,3,4757
7515-LODFU,3,4042
8041-TMEID,4,6453
6941-KXRRV,3,4815
4501-UYKBC,3,3856
5304-EFJLP,4,4406
8875-AKBYH,4,4915
0533-UCAAU,5,5462
1394-SUIUH,4,2672
8565-WUXZU,4,4240
2055-BFOCC,3,5688
4584-LBNMK,4,5644
3898-GUYTS,3,4735
3703-KBKZP,5,5111
5117-IFGPS,3,2217
2197-OMWGI,4,5583
7852-LECYP,4,5870
8595-SIZNC,4,2628
8920-NAVAY,5,5166
9699-UBQFS,3,4745
1261-FWTTE,4,2307
3528-HFRIQ,5,5491
3320-VEOYC,3,3502
9758-MFWGD,5,2617
1360-JYXKQ,5,4118
6925-BAYGL,3,5295
4135-FRWKJ,3,4319
6551-ZCOTS,4,5756
5995-SNNEW,5,5883
5371-VYLSX,3,4977
4128-ETESU,3,4787
3295-YVUSR,3,5098
8016-NCFVO,4,4222
4119-ZYPZY,3,6423
1078-TDCRN,5,4133
5439-WIKXB,3,4914
2080-CAZNM,5,4477
1028-FFNJK,5,4828
3001-UNBTL,4,3733
0786-IVLAW,3,4722
4282-ACRXS,3,3511
7668-XCFYV,3,3689
5336-UFNZP,4,6211
9233-PSYHO,4,2636
8777-MBMTS,4,4872
2615-YVMYX,3,5775
2851-STERV,4,2715
5419-JKZNQ,3,2009
1409-PHXTF,4,4425
9591-YVTEB,3,5829
9309-BZGNT,3,5681
8075-GXIUB,3,5601
6723-WSNTY,3,5360
2144-BFDSO,3,5211
5647-FXOTP,5,5084
6078-VESFR,5,5225
9866-OCCKE,4,6010
2786-GCDPI,5,5570
3733-UOCWF,4,4845
8490-BXHEO,5,5137
7173-TETGO,3,6072
6435-VWCCY,3,5205
6726-NNFWD,4,6004
7856-GANIL,3,2535
0248-PGHBZ,4,5857
